restaurant,city,rating
15th Street Fisheries,Fort Lauderdale,3.5
Abe & Louie's,Boston,4.0
Acme Feed & Seed,Nashville,4.0
Angus Barn,Raleigh,4.0
Atlanta Fish Market,Atlanta,3.5
BOA Steakhouse ,West Hollywood,4.0
Balthazar,New York,4.0
Bazaar Meat by Jose Andres,Las Vegas,4.0
Beauty & Essex (Las Vegas),Las Vegas,4.0
Beauty & Essex (New York City),New York,4.5
Big Texan Steak Ranch,Amarillo,3.5
Bob Chinn's Crab House,Wheeling,4.0
Bottega Louie,Los Angeles,4.0
Bryant Park Grill & Cafe,New York,3.5
Buddakan,New York,4.0
Carmine's (Atlantic City),Atlantic City,3.5
Carmine's (Las Vegas),Las Vegas,4.0
Carmine's (Times Square),New York,4.0
Castaway Burbank,Burbank,4.0
Chicago Cut Steakhouse,Chicago,3.5
China Live,San Francisco,3.5
Chops Lobster Bar,Atlanta,4.0
Cliff House,San Francisco,4.0
Del Posto,New York,4.0
Delmonico Steakhouse,Las Vegas,4.0
"Founding Farmers (McLean, Va.)",McLean,3.5
Franciscan Crab Restaurant,San Francisco,3.5
Frankenmuth Bavarian Inn,Frankenmuth,3.0
George's at the Cove,La Jolla,4.0
Gibsons Bar & Steakhouse,Chicago,4.0
Gibsons Bar & Steakhouse,Oak Brook,4.0
Gibsons Bar & Steakhouse,Rosemont,4.0
Gibsons Italia,Chicago,4.0
Girl & the Goat,Chicago,4.5
Grand Central Oyster Bar,New York,3.0
Harris Ranch Inn & Restaurant,Coalinga,3.5
Harry & Izzy's Circle Centre,Indianapolis,4.0
Harry Caray's Italian Steakhouse,Chicago,4.0
Hugo's Frog Bar & Fish House,Chicago,4.0
"Joe's Seafood, Prime Steak & Stone Crab",Chicago,4.5
"Joe's Seafood, Prime Steak & Stone Crab",Las Vegas,4.5
Junior's (49th Street),New York,3.5
Junior's (Brooklyn),New York,3.5
Junior's (Times Square),New York,4.0
Keens Steakhouse,New York,4.0
Komodo,Miami,4.0
LAVO Italian Restaurant & Nightclub,New York,2.5
Lavo Italian Restaurant & Lounge,Las Vegas,3.5
Le Coucou,New York,4.0
Makoto,Bal Harbour,4.5
Maple & Ash,Chicago,4.5
Matt's El Rancho,Austin,3.5
Mon Ami Gabi,Las Vegas,4.0
Original Joe's,San Francisco,4.0
Original Joe's Westlake,Daly City,3.5
Paddlefish,Orlando ,4.0
Paradise Cove Beach Cafe,Malibu,3.0
Parc,Philadelphia,4.0
"Park Avenue Summer (Autumn, Winter, Spring)",New York,4.5
Portland City Grill,Portland,4.0
Prime & Provisions,Chicago,4.5
Prime 112,Miami Beach,3.5
Prime Steakhouse,Las Vegas,4.0
Quality Italian,New York,4.0
Quality Meats,New York,4.0
Quartino Ristorante & Wine Bar,Chicago,4.0
RPM Steak,Chicago,4.0
Rusty Pelican,Miami,3.5
SW Steakhouse,Las Vegas,4.0
Scoma's,San Francisco,4.0
Shaw's Crab House,Chicago,4.0
Shooters Waterfront,Ft. Lauderdale,4.0
Siena Tavern,Chicago,4.0
Smith & Wollensky,New York,3.5
Southern Steak & Oyster,Nashville,4.0
Sparks Steak House,New York,3.5
St. Elmo Steak House,Indianapolis,4.0
Swan,Miami,3.5
Swift & Sons,Chicago,4.0
Taste of Texas,Houston,4.5
Tavern on Rush,Chicago,3.5
Tavern on the Green,New York,3.5
The Boathouse Orlando,Orlando ,4.0
The Lobster House,Cape May,3.5
The Rustic Inn,Ft. Lauderdale,4.0
Timberline Steaks and Grille,Denver,3.5
Top of the World at the STRAT ,Las Vegas,4.5
Upland,New York,4.0
Virgil's Real Barbecue,New York,3.5
Virgil's Real Barbecue,Las Vegas,4.0
Zehnder's of Frankenmuth,Frankenmuth,3.5
